origin	destination	count
Portland	Palm Springs	44
Cathedral City	Palm Springs	96
Los Angeles	Palm Springs	332
Vancouver, BC	Palm Springs	52
Calgary, AB	Palm Springs	23
Seattle	Palm Springs	28
San Carlos	Palm Springs	70
Aliso Viejo	Palm Springs	75
New York	Palm Springs	20
Redlands	Palm Springs	40
San Marcos	Palm Springs	81
Atlanta	Palm Springs	112
Brentwood	Palm Springs	32
