name	latitude	longitude	weight
San Carlos	37.49799999999999	-122.2672	35
Yorkton, SK	51.202	-102.457	2
Canada	60.0	-95.0	4
Beverly Hills	34.099500000000006	-118.4143	3
Wichita	37.692200000000014	-97.3375	1
Aliso Viejo	33.57169999999999	-117.72890000000001	13
Saanichton, BC	48.566	-123.4579	1
Canmore, AB	51.08680000000001	-115.3384	4
Henderson	37.824900000000014	-87.5334	1
Granger	41.735000000000014	-86.1229	1
Hacienda Heights	34.002399999999994	-117.9757	1
Norwalk	33.90219999999999	-118.0817	1
Berkeley	37.8672	-122.2568	2
Shawnigan Lake, BC	48.65039999999999	-123.61449999999999	1
Escondido	33.22300000000001	-117.1069	1
Redondo Beach	33.83099999999999	-118.3875	2
Camano Island	48.162499999999994	-122.49539999999999	1
Turtle Lake	45.4135	-92.1792	1
Essex Junction	44.532700000000006	-73.058	5
New Zealand	-41.0	174.0	1
Cache Creek, BC	50.80000000000001	-121.3167	1
Santa Cruz	36.971300000000014	-121.9875	11
Las Cruces	32.3047	-106.6417	1
Irvine	33.7011	-117.797	4
West Linn	45.34219999999999	-122.6639	4
El Segundo	33.91640000000001	-118.4041	5
Port Moody, BC	49.270700000000005	-122.88300000000001	1
Boise	43.595200000000006	-116.1954	4
Bronx	40.84989999999999	-73.8769	1
Grand Prairie	32.74600000000001	-96.9978	4
Clarksville	36.55969999999999	-87.4097	1
Gem, AB	50.94999999999999	-112.1833	1
Billings	45.7833	-108.5007	2
Kanata, ON	45.33330000000001	-75.9	1
Solana Beach	32.995900000000006	-117.25710000000001	1
Buena Park	33.86750000000001	-117.9981	1
San Clemente	33.422799999999995	-117.62010000000001	7
AZ	33.44839999999999	-112.074	1
Klamath Falls	42.44399999999999	-122.17410000000001	2
Silverton	44.95439999999999	-122.71379999999999	1
La Mesa	32.783800000000014	-117.0179	1
Petaluma	38.23179999999999	-122.5618	5
Kalispell	48.1987	-114.3857	1
CO	39.73920000000001	-104.9847	1
Oakland	37.789800000000014	-122.2457	1
Chino Hills	33.94730000000001	-117.72890000000001	4
Hollister	36.62119999999999	-93.2155	1
Horseheads	42.212500000000006	-76.7868	1
Akron	41.14660000000001	-81.5645	3
Redlands	34.06139999999999	-117.1734	22
San Jose	37.32390000000001	-121.9144	3
Manhattan Beach	33.88929999999999	-118.40100000000001	1
Chino	33.98689999999999	-117.6555	1
Philadelphia	40.04910000000001	-75.2281	18
Stanford	37.4178	-122.172	5
Nampa	43.60079999999999	-116.6103	1
Yelm	46.87190000000001	-122.5737	4
Madison	43.06389999999999	-89.3145	1
Atlanta	33.748999999999995	-84.388	110
Vancouver	45.6387	-122.66149999999999	1
New Berlin	42.9734	-88.1031	3
Midland, ON	44.7542	-79.9005	1
Salem	44.9023	-123.06620000000001	7
Corvallis	44.56460000000001	-123.262	1
OR	45.52340000000001	-122.6762	1
White Rock, BC	49.02680000000001	-122.8369	1
Hawthorne	33.91290000000001	-118.34389999999999	4
Castlegar, BC	49.3167	-117.66669999999999	1
Redmond	47.68010000000001	-122.1206	1
Chilliwack, BC	49.14089999999999	-121.962	1
San Gabriel	34.0891	-118.0924	14
Palmdale	34.52000000000001	-118.0835	1
South Lake Tahoe	38.84790000000001	-120.0139	2
Bothell	47.74770000000001	-122.20439999999999	2
Lewiston	46.16829999999999	-116.9204	4
Indio	33.72059999999999	-116.2156	6
Carlsbad	33.135700000000014	-117.3019	2
Fort Collins	40.67359999999999	-104.9434	3
Malibu	34.06970000000001	-118.8177	1
Sechelt, BC	49.4667	-123.7667	1
Vashon	47.42060000000001	-122.45089999999999	1
Theodore	30.503500000000003	-88.1432	18
Compton	33.89590000000001	-118.2201	8
